"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2022","17,430.0","16,542.0","17,430.0","15,888.0","5.84M","6.57%"
"06/29/2022","16,355.0","15,327.0","16,355.0","15,140.0","5.35M","6.71%"
"06/28/2022","15,327.0","15,140.0","15,514.0","14,953.0","4.65M","1.24%"
"06/27/2022","15,140.0","14,953.0","15,187.0","14,860.0","1.49M","1.25%"
"06/24/2022","14,953.0","14,720.0","15,187.0","14,673.0","2.24M","1.58%"
"06/23/2022","14,720.0","14,252.0","14,720.0","13,925.0","1.15M","2.94%"
"06/22/2022","14,299.0","14,019.0","14,299.0","13,878.0","1.04M","3.03%"
"06/21/2022","13,878.0","13,458.0","14,019.0","13,318.0","1.39M","1.02%"
"06/20/2022","13,738.0","14,766.0","14,860.0","13,738.0","2.07M","-6.96%"
"06/17/2022","14,766.0","14,486.0","14,860.0","14,299.0","2.21M","-2.47%"
"06/16/2022","15,140.0","14,860.0","15,234.0","14,626.0","2.16M","2.21%"
"06/15/2022","14,813.0","15,140.0","15,140.0","14,112.0","2.27M","-2.16%"
"06/14/2022","15,140.0","14,579.0","15,140.0","14,393.0","2.16M","0.31%"
"06/13/2022","15,093.0","15,467.0","15,654.0","15,093.0","5.11M","-6.92%"
"06/10/2022","16,215.0","16,729.0","16,916.0","16,075.0","2.59M","-4.14%"
"06/09/2022","16,916.0","17,009.0","17,009.0","16,776.0","1.16M","-0.55%"
"06/08/2022","17,009.0","17,150.0","17,243.0","16,822.0","3.78M","-0.28%"
"06/07/2022","17,056.0","16,168.0","17,056.0","16,028.0","4.91M","6.41%"
"06/06/2022","16,028.0","16,075.0","16,402.0","15,981.0","1.62M","-0.58%"
"06/03/2022","16,121.0","16,262.0","16,355.0","15,981.0","2.22M","-0.87%"
"06/02/2022","16,262.0","16,402.0","16,449.0","15,935.0","1.98M","-0.85%"
"06/01/2022","16,402.0","15,981.0","16,402.0","15,888.0","2.39M","0.29%"
"05/31/2022","16,355.0","16,262.0","16,449.0","16,028.0","2.91M","-1.13%"
"05/30/2022","16,542.0","16,402.0","16,589.0","16,262.0","1.84M","0.28%"
"05/27/2022","16,495.0","16,542.0","16,916.0","16,402.0","4.06M","1.73%"
"05/26/2022","16,215.0","15,327.0","16,215.0","15,280.0","5.61M","6.77%"
"05/25/2022","15,187.0","14,766.0","15,187.0","14,766.0","2.35M","4.17%"
"05/24/2022","14,579.0","14,860.0","14,953.0","14,486.0","1.13M","-2.50%"
"05/23/2022","14,953.0","15,280.0","15,280.0","14,299.0","1.64M","-0.93%"
"05/20/2022","15,093.0","14,953.0","15,187.0","14,860.0","1.63M","0.00%"
"05/19/2022","15,093.0","14,673.0","15,093.0","14,393.0","2.08M","0.00%"
"05/18/2022","15,093.0","14,953.0","15,327.0","14,533.0","2.67M","2.86%"
"05/17/2022","14,673.0","13,692.0","14,673.0","13,692.0","2.86M","6.81%"
"05/16/2022","13,738.0","13,645.0","14,252.0","13,411.0","3.55M","2.08%"
"05/13/2022","13,458.0","14,439.0","14,439.0","13,458.0","3.93M","-6.79%"
"05/12/2022","14,439.0","15,421.0","15,514.0","14,439.0","3.53M","-6.93%"
"05/11/2022","15,514.0","15,421.0","15,794.0","15,374.0","1.96M","0.60%"
"05/10/2022","15,421.0","15,421.0","15,888.0","15,047.0","3.04M","-4.34%"
"05/09/2022","16,121.0","16,963.0","17,009.0","16,121.0","3.12M","-6.76%"
"05/06/2022","17,290.0","17,617.0","17,944.0","17,290.0","1.65M","-4.89%"
"05/05/2022","18,178.0","18,224.0","18,318.0","17,570.0","1.57M","-0.25%"
"05/04/2022","18,224.0","17,757.0","18,458.0","17,570.0","2.19M","2.63%"
"04/29/2022","17,757.0","17,009.0","17,757.0","16,963.0","1.84M","3.82%"
"04/28/2022","17,103.0","17,290.0","17,570.0","17,103.0","1.39M","-1.61%"
"04/27/2022","17,383.0","16,822.0","17,570.0","16,729.0","2.04M","0.54%"
"04/26/2022","17,290.0","16,589.0","17,290.0","15,888.0","3.08M","2.21%"
"04/25/2022","16,916.0","18,037.0","18,037.0","16,916.0","3.19M","-6.94%"
"04/22/2022","18,178.0","17,897.0","18,458.0","17,430.0","2.91M","1.30%"
"04/21/2022","17,944.0","17,757.0","17,944.0","16,729.0","6.17M","0.00%"
"04/20/2022","17,944.0","19,159.0","19,346.0","17,944.0","5.36M","-6.79%"
"04/19/2022","19,252.0","20,701.0","20,748.0","19,252.0","3.59M","-7.00%"
"04/18/2022","20,701.0","20,841.0","21,215.0","20,093.0","3.94M","-1.99%"
"04/15/2022","21,121.0","20,888.0","21,168.0","20,654.0","2.07M","1.12%"
"04/14/2022","20,888.0","20,935.0","21,215.0","20,841.0","1.85M","0.00%"
"04/13/2022","20,888.0","20,654.0","20,981.0","20,234.0","2.82M","1.59%"
"04/12/2022","20,561.0","21,589.0","21,636.0","20,561.0","2.95M","-2.65%"
"04/08/2022","21,121.0","21,542.0","21,776.0","21,121.0","3.33M","-1.31%"
"04/07/2022","21,402.0","22,430.0","22,617.0","21,402.0","4.41M","-4.18%"
"04/06/2022","22,336.0","22,243.0","22,897.0","22,243.0","3.30M","-0.42%"
"04/05/2022","22,430.0","22,710.0","22,710.0","22,383.0","3.47M","-1.03%"
"04/04/2022","22,664.0","22,897.0","23,084.0","22,570.0","4.01M","-0.20%"
"04/01/2022","22,710.0","22,056.0","22,710.0","22,009.0","4.42M","1.25%"
"03/31/2022","22,430.0","22,523.0","22,804.0","22,196.0","3.92M","-0.21%"
"03/30/2022","22,477.0","22,991.0","23,271.0","22,243.0","5.18M","-2.83%"
"03/29/2022","23,131.0","22,523.0","23,364.0","22,336.0","8.06M","3.13%"
"03/28/2022","22,430.0","22,430.0","22,944.0","22,056.0","6.03M","0.00%"
"03/25/2022","22,430.0","21,869.0","22,430.0","21,869.0","5.28M","2.79%"
"03/24/2022","21,822.0","21,682.0","21,963.0","21,682.0","4.54M","0.65%"
"03/23/2022","21,682.0","21,916.0","22,056.0","21,589.0","3.30M","-0.86%"
"03/22/2022","21,869.0","21,963.0","22,290.0","21,869.0","3.90M","0.43%"
"03/21/2022","21,776.0","21,682.0","21,963.0","21,542.0","3.72M","1.31%"
"03/18/2022","21,495.0","21,729.0","21,822.0","21,495.0","4.54M","-0.86%"
"03/17/2022","21,682.0","21,682.0","22,056.0","21,495.0","3.68M","0.87%"
"03/16/2022","21,495.0","21,495.0","21,916.0","21,402.0","3.92M","0.00%"
"03/15/2022","21,495.0","21,308.0","21,495.0","20,841.0","4.54M","0.00%"
"03/14/2022","21,495.0","21,963.0","21,963.0","21,028.0","7.75M","-2.96%"
"03/11/2022","22,150.0","22,757.0","22,897.0","21,963.0","6.42M","-2.87%"
"03/10/2022","22,804.0","22,710.0","23,178.0","22,383.0","5.35M","1.45%"
"03/09/2022","22,477.0","22,991.0","23,318.0","22,243.0","6.57M","-2.04%"
"03/08/2022","22,944.0","23,364.0","23,972.0","22,944.0","9.29M","-3.73%"
"03/07/2022","23,832.0","23,131.0","24,252.0","23,084.0","9.86M","3.66%"
"03/04/2022","22,991.0","23,364.0","23,458.0","22,710.0","6.33M","0.00%"
"03/03/2022","22,991.0","21,682.0","22,991.0","21,495.0","12.61M","6.96%"
"03/02/2022","21,495.0","21,822.0","21,869.0","21,308.0","4.82M","0.00%"
"03/01/2022","21,495.0","21,308.0","21,682.0","21,121.0","4.87M","1.77%"
"02/28/2022","21,121.0","21,308.0","21,355.0","20,981.0","3.02M","-1.31%"
"02/25/2022","21,402.0","21,402.0","21,682.0","21,215.0","4.14M","0.66%"
"02/24/2022","21,262.0","21,916.0","22,150.0","20,841.0","5.21M","-3.60%"
"02/23/2022","22,056.0","21,402.0","22,103.0","21,308.0","6.59M","3.51%"
"02/22/2022","21,308.0","21,308.0","21,449.0","20,935.0","3.98M","-0.87%"
"02/21/2022","21,495.0","21,308.0","21,729.0","21,262.0","4.48M","0.43%"
"02/18/2022","21,402.0","21,355.0","21,542.0","21,262.0","3.39M","-0.43%"
"02/17/2022","21,495.0","21,542.0","21,869.0","21,308.0","3.59M","0.00%"
"02/16/2022","21,495.0","20,935.0","21,589.0","20,935.0","3.16M","2.45%"
"02/15/2022","20,981.0","20,935.0","21,028.0","20,561.0","3.27M","0.00%"
"02/14/2022","20,981.0","21,121.0","21,495.0","20,981.0","4.57M","-1.75%"
"02/11/2022","21,355.0","21,402.0","21,636.0","21,308.0","2.97M","-0.65%"
"02/10/2022","21,495.0","21,729.0","21,822.0","21,355.0","3.13M","0.00%"
"02/09/2022","21,495.0","21,495.0","21,776.0","21,215.0","3.04M","0.00%"
"02/08/2022","21,495.0","21,262.0","21,589.0","21,028.0","2.90M","1.77%"
"02/07/2022","21,121.0","20,888.0","21,308.0","20,561.0","2.03M","2.72%"
"01/28/2022","20,561.0","20,561.0","20,561.0","19,953.0","3.27M","0.00%"
"01/27/2022","20,561.0","20,561.0","20,748.0","20,000.0","2.52M","0.00%"
"01/26/2022","20,561.0","20,467.0","20,748.0","20,093.0","2.64M","0.92%"
"01/25/2022","20,374.0","19,299.0","20,374.0","19,299.0","2.72M","5.57%"
"01/24/2022","19,299.0","20,514.0","20,561.0","19,299.0","5.01M","-6.98%"
"01/21/2022","20,748.0","20,888.0","21,168.0","20,561.0","3.99M","-1.77%"
"01/20/2022","21,121.0","21,028.0","21,121.0","20,561.0","2.46M","1.57%"
"01/19/2022","20,794.0","19,766.0","20,794.0","19,533.0","4.07M","6.46%"
"01/18/2022","19,533.0","20,607.0","20,935.0","19,533.0","7.26M","-6.90%"
"01/17/2022","20,981.0","22,523.0","22,710.0","20,981.0","8.43M","-6.85%"
"01/14/2022","22,523.0","21,916.0","22,804.0","21,589.0","3.99M","0.84%"
"01/13/2022","22,336.0","23,551.0","24,299.0","22,336.0","8.44M","-6.28%"
"01/12/2022","23,832.0","23,925.0","24,393.0","22,430.0","6.36M","-0.39%"
"01/11/2022","23,925.0","25,187.0","25,607.0","23,925.0","6.25M","-4.65%"
"01/10/2022","25,093.0","24,579.0","26,168.0","24,579.0","12.73M","2.28%"
"01/07/2022","24,533.0","24,206.0","24,766.0","23,972.0","5.80M","0.96%"
"01/06/2022","24,299.0","24,393.0","24,439.0","23,832.0","8.46M","-0.76%"
"01/05/2022","24,486.0","24,673.0","25,467.0","24,299.0","7.65M","-0.19%"
"01/04/2022","24,533.0","24,299.0","24,626.0","24,065.0","6.73M","1.35%"
"12/31/2021","24,206.0","24,673.0","25,187.0","24,206.0","4.71M","-1.71%"
"12/30/2021","24,626.0","23,364.0","24,860.0","23,364.0","9.43M","5.82%"
"12/29/2021","23,271.0","23,178.0","23,551.0","22,850.0","4.01M","0.40%"
"12/28/2021","23,178.0","23,551.0","23,832.0","22,944.0","5.65M","-0.40%"
"12/27/2021","23,271.0","23,178.0","23,925.0","22,897.0","4.55M","0.81%"
"12/24/2021","23,084.0","23,084.0","23,832.0","23,084.0","5.01M","0.20%"
"12/23/2021","23,037.0","22,617.0","23,318.0","22,430.0","7.72M","2.92%"
"12/22/2021","22,383.0","21,916.0","22,710.0","21,636.0","5.72M","3.01%"
"12/21/2021","21,729.0","22,150.0","22,150.0","21,636.0","5.01M","-2.10%"
"12/20/2021","22,196.0","22,617.0","22,804.0","21,963.0","3.66M","-1.45%"
"12/17/2021","22,523.0","22,897.0","23,224.0","22,523.0","4.44M","-1.23%"
"12/16/2021","22,804.0","22,897.0","22,991.0","22,477.0","2.62M","-0.41%"
"12/15/2021","22,897.0","22,570.0","23,131.0","22,430.0","3.94M","2.51%"
"12/14/2021","22,336.0","21,963.0","22,710.0","21,916.0","3.57M","1.92%"
"12/13/2021","21,916.0","21,963.0","22,336.0","21,822.0","2.84M","0.21%"
"12/10/2021","21,869.0","22,056.0","22,243.0","21,729.0","2.99M","-0.64%"
"12/09/2021","22,009.0","21,776.0","22,243.0","21,776.0","2.18M","1.51%"
"12/08/2021","21,682.0","22,243.0","22,243.0","21,542.0","2.75M","-1.07%"
"12/07/2021","21,916.0","21,449.0","21,963.0","21,028.0","3.56M","4.22%"
"12/06/2021","21,028.0","21,916.0","22,430.0","20,748.0","6.18M","-4.86%"
"12/03/2021","22,103.0","23,458.0","23,458.0","22,103.0","5.29M","-4.64%"
"12/02/2021","23,178.0","23,364.0","23,925.0","23,084.0","4.09M","0.00%"
"12/01/2021","23,178.0","22,804.0","23,598.0","22,664.0","5.00M","1.23%"
"11/30/2021","22,897.0","22,897.0","23,598.0","22,477.0","5.80M","2.51%"
"11/29/2021","22,336.0","21,963.0","22,710.0","21,963.0","5.57M","-1.65%"
"11/26/2021","22,710.0","23,318.0","23,645.0","22,430.0","7.45M","-2.99%"
"11/25/2021","23,411.0","23,131.0","23,738.0","23,037.0","4.77M","1.83%"
"11/24/2021","22,991.0","23,692.0","23,832.0","22,991.0","5.99M","-1.60%"
"11/23/2021","23,364.0","22,477.0","23,458.0","22,477.0","4.76M","3.95%"
"11/22/2021","22,477.0","24,019.0","24,252.0","22,477.0","8.44M","-6.96%"
"11/19/2021","24,159.0","25,234.0","25,701.0","23,364.0","13.91M","-2.27%"
"11/18/2021","24,720.0","23,972.0","25,047.0","23,645.0","10.97M","4.96%"
"11/17/2021","23,551.0","23,271.0","23,878.0","22,850.0","7.95M","1.20%"
"11/16/2021","23,271.0","24,112.0","24,393.0","23,271.0","12.25M","-4.60%"
"11/15/2021","24,393.0","24,533.0","25,280.0","23,925.0","9.94M","0.39%"
"11/12/2021","24,299.0","24,206.0","24,626.0","23,551.0","6.99M","1.56%"
"11/11/2021","23,925.0","24,252.0","24,299.0","23,364.0","10.95M","-0.78%"
"11/10/2021","24,112.0","23,271.0","24,533.0","23,178.0","11.34M","3.20%"
"11/09/2021","23,364.0","23,505.0","23,925.0","22,897.0","11.84M","0.60%"
"11/08/2021","23,224.0","22,290.0","23,224.0","22,243.0","18.83M","6.88%"
"11/05/2021","21,729.0","21,215.0","21,916.0","20,841.0","9.76M","3.57%"
"11/04/2021","20,981.0","21,215.0","21,495.0","20,888.0","6.06M","-0.45%"
"11/03/2021","21,075.0","21,776.0","22,196.0","21,075.0","14.11M","-1.53%"
"11/02/2021","21,402.0","21,028.0","21,402.0","20,607.0","10.32M","2.23%"
"11/01/2021","20,935.0","20,561.0","21,215.0","20,374.0","11.18M","1.82%"
"10/29/2021","20,561.0","20,935.0","20,935.0","20,374.0","8.86M","-0.45%"
"10/28/2021","20,654.0","20,047.0","20,748.0","19,813.0","11.78M","3.51%"
"10/27/2021","19,953.0","20,280.0","20,327.0","19,860.0","3.53M","-0.24%"
"10/26/2021","20,000.0","19,439.0","20,047.0","19,299.0","3.92M","2.89%"
"10/25/2021","19,439.0","19,720.0","19,813.0","19,439.0","4.75M","-1.19%"
"10/22/2021","19,673.0","19,673.0","20,000.0","19,439.0","4.07M","0.72%"
"10/21/2021","19,533.0","19,813.0","19,860.0","19,533.0","3.38M","-0.71%"
"10/20/2021","19,673.0","19,953.0","20,047.0","19,533.0","3.56M","-0.94%"
"10/19/2021","19,860.0","19,766.0","20,000.0","19,579.0","2.86M","0.95%"
"10/18/2021","19,673.0","20,187.0","20,187.0","19,673.0","5.86M","-2.55%"
"10/15/2021","20,187.0","20,561.0","20,607.0","20,000.0","6.83M","-0.92%"
"10/14/2021","20,374.0","20,374.0","20,841.0","20,280.0","7.05M","0.00%"
"10/13/2021","20,374.0","20,421.0","20,654.0","20,280.0","3.89M","0.00%"
"10/12/2021","20,374.0","20,794.0","20,888.0","20,374.0","5.58M","-1.80%"
"10/11/2021","20,748.0","20,093.0","20,981.0","20,000.0","11.73M","4.22%"
"10/08/2021","19,907.0","20,047.0","20,327.0","19,860.0","5.02M","1.43%"
"10/07/2021","19,626.0","19,626.0","20,234.0","19,533.0","10.24M","0.00%"
"10/06/2021","19,626.0","19,766.0","19,953.0","19,486.0","3.62M","0.00%"
"10/05/2021","19,626.0","19,626.0","19,813.0","19,393.0","3.08M","0.48%"
"10/04/2021","19,533.0","19,813.0","19,953.0","19,486.0","3.19M","-1.18%"
"10/01/2021","19,766.0","19,813.0","20,280.0","19,673.0","3.65M","0.47%"
"09/30/2021","19,673.0","19,626.0","20,093.0","19,579.0","2.44M","0.48%"
"09/29/2021","19,579.0","19,439.0","19,813.0","19,299.0","2.21M","-0.24%"
"09/28/2021","19,626.0","19,065.0","19,626.0","18,972.0","3.41M","2.44%"
"09/27/2021","19,159.0","20,374.0","20,421.0","19,159.0","6.93M","-5.96%"
"09/24/2021","20,374.0","20,841.0","20,981.0","20,280.0","2.87M","-1.80%"
"09/23/2021","20,748.0","21,355.0","21,589.0","20,654.0","5.72M","-1.98%"
"09/22/2021","21,168.0","20,421.0","21,355.0","20,140.0","9.14M","5.35%"
"09/21/2021","20,093.0","19,766.0","20,280.0","19,626.0","3.67M","-0.70%"
"09/20/2021","20,234.0","21,028.0","21,028.0","20,000.0","5.12M","0.23%"
