"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2023","18,200.00","19,300.00","19,300.00","18,100.00","3.63M","-6.19%"
"08/17/2023","19,400.00","19,500.00","19,650.00","19,400.00","1.48M","-1.02%"
"08/16/2023","19,600.00","19,500.00","19,750.00","19,400.00","2.11M","0.26%"
"08/15/2023","19,550.00","20,100.00","20,150.00","19,450.00","2.19M","-2.01%"
"08/14/2023","19,950.00","19,800.00","20,150.00","19,800.00","2.01M","0.76%"
"08/11/2023","19,800.00","19,600.00","19,800.00","19,400.00","2.28M","1.28%"
"08/10/2023","19,550.00","19,250.00","19,900.00","19,150.00","4.32M","1.82%"
"08/09/2023","19,200.00","19,300.00","19,350.00","19,150.00","1.59M","-0.26%"
"08/08/2023","19,250.00","19,200.00","19,550.00","19,200.00","3.93M","1.05%"
"08/07/2023","19,050.00","18,800.00","19,250.00","18,750.00","2.23M","2.70%"
"08/04/2023","18,550.00","18,850.00","18,900.00","18,550.00","4.01M","-1.33%"
"08/03/2023","18,800.00","19,200.00","19,200.00","18,800.00","1.65M","-1.57%"
"08/02/2023","19,100.00","18,950.00","19,400.00","18,850.00","1.97M","0.79%"
"08/01/2023","18,950.00","19,150.00","19,350.00","18,950.00","2.63M","-0.79%"
"07/31/2023","19,100.00","19,200.00","19,450.00","19,050.00","3.96M","1.33%"
"07/28/2023","18,850.00","18,800.00","18,900.00","18,650.00","2.19M","0.80%"
"07/27/2023","18,700.00","19,000.00","19,000.00","18,600.00","1.84M","-1.06%"
"07/26/2023","18,900.00","19,100.00","19,150.00","18,800.00","1.33M","-0.79%"
"07/25/2023","19,050.00","18,400.00","19,200.00","18,400.00","4.34M","3.53%"
"07/24/2023","18,400.00","18,450.00","18,500.00","18,300.00","1.31M","0.55%"
"07/21/2023","18,300.00","18,150.00","18,300.00","18,100.00","659.90K","1.10%"
"07/20/2023","18,100.00","18,250.00","18,250.00","18,000.00","1.24M","-0.55%"
"07/19/2023","18,200.00","18,450.00","18,450.00","18,200.00","956.20K","-0.82%"
"07/18/2023","18,350.00","18,250.00","18,350.00","18,200.00","782.50K","0.55%"
"07/17/2023","18,250.00","18,200.00","18,300.00","18,100.00","844.90K","0.27%"
"07/14/2023","18,200.00","18,550.00","18,650.00","17,900.00","2.83M","-1.62%"
"07/13/2023","18,500.00","18,500.00","18,500.00","18,400.00","1.01M","0.54%"
"07/12/2023","18,400.00","18,450.00","18,500.00","18,250.00","618.70K","0.00%"
"07/11/2023","18,400.00","18,350.00","18,550.00","18,300.00","1.19M","0.27%"
"07/10/2023","18,350.00","18,100.00","18,400.00","18,050.00","1.67M","1.38%"
"07/07/2023","18,100.00","18,050.00","18,150.00","17,900.00","1.44M","0.28%"
"07/06/2023","18,050.00","18,300.00","18,300.00","18,050.00","840.00K","-0.82%"
"07/05/2023","18,200.00","18,400.00","18,550.00","18,200.00","1.60M","-1.09%"
"07/04/2023","18,400.00","18,500.00","18,500.00","18,300.00","280.90K","0.27%"
"07/03/2023","18,350.00","18,300.00","18,400.00","18,150.00","810.50K","0.27%"
"06/30/2023","18,300.00","18,350.00","18,450.00","18,300.00","711.50K","-0.27%"
"06/29/2023","18,350.00","18,500.00","18,550.00","18,350.00","734.10K","-0.81%"
"06/28/2023","18,500.00","18,700.00","18,750.00","18,450.00","2.04M","-1.07%"
"06/27/2023","18,700.00","18,800.00","19,000.00","18,700.00","753.10K","-0.53%"
"06/26/2023","18,800.00","18,750.00","18,800.00","18,400.00","1.46M","1.08%"
"06/23/2023","18,600.00","18,550.00","18,850.00","18,550.00","1.23M","0.27%"
"06/22/2023","18,550.00","18,400.00","18,600.00","18,350.00","1.68M","1.37%"
"06/21/2023","18,300.00","18,300.00","18,400.00","18,200.00","743.10K","0.00%"
"06/20/2023","18,300.00","18,350.00","18,400.00","18,200.00","843.30K","-0.27%"
"06/19/2023","18,350.00","18,600.00","18,600.00","18,350.00","832.00K","-0.54%"
"06/16/2023","18,450.00","18,450.00","18,750.00","18,450.00","2.16M","0.00%"
"06/15/2023","18,450.00","18,400.00","18,600.00","18,350.00","591.90K","-0.54%"
"06/14/2023","18,550.00","18,400.00","19,000.00","18,400.00","1.65M","0.82%"
"06/13/2023","18,400.00","18,500.00","18,500.00","18,300.00","909.50K","-0.27%"
"06/12/2023","18,450.00","18,500.00","18,550.00","18,250.00","1.09M","-0.27%"
"06/09/2023","18,500.00","18,300.00","18,500.00","18,150.00","1.47M","1.09%"
"06/08/2023","18,300.00","18,500.00","18,650.00","18,300.00","1.76M","-0.81%"
"06/07/2023","18,450.00","18,650.00","18,700.00","18,350.00","1.75M","-1.07%"
"06/06/2023","18,650.00","18,150.00","18,650.00","18,100.00","1.94M","3.04%"
"06/05/2023","18,100.00","18,750.00","18,750.00","18,000.00","2.81M","-1.90%"
"06/02/2023","18,450.00","18,250.00","18,700.00","18,050.00","3.29M","2.50%"
"06/01/2023","18,000.00","17,000.00","18,050.00","16,900.00","2.83M","6.19%"
"05/31/2023","16,950.00","17,000.00","17,100.00","16,900.00","985.60K","-0.29%"
"05/30/2023","17,000.00","17,150.00","17,150.00","16,900.00","758.60K","0.29%"
"05/29/2023","16,950.00","16,800.00","17,000.00","16,800.00","485.90K","0.89%"
"05/26/2023","16,800.00","16,750.00","16,800.00","16,650.00","419.10K","0.60%"
"05/25/2023","16,700.00","16,850.00","16,900.00","16,700.00","582.30K","-0.89%"
"05/24/2023","16,850.00","17,000.00","17,100.00","16,850.00","730.40K","-0.88%"
"05/23/2023","17,000.00","17,200.00","17,200.00","17,000.00","809.90K","-1.16%"
"05/22/2023","17,200.00","17,000.00","17,250.00","17,000.00","1.01M","1.18%"
"05/19/2023","17,000.00","17,100.00","17,100.00","16,850.00","681.90K","0.00%"
"05/18/2023","17,000.00","17,150.00","17,150.00","16,950.00","870.40K","0.00%"
"05/17/2023","17,000.00","17,100.00","17,200.00","16,850.00","1.17M","-0.29%"
"05/16/2023","17,050.00","16,950.00","17,300.00","16,950.00","1.35M","0.29%"
"05/15/2023","17,000.00","16,600.00","17,500.00","16,600.00","3.82M","3.03%"
"05/12/2023","16,500.00","16,600.00","16,600.00","16,300.00","1.34M","0.00%"
"05/11/2023","16,500.00","16,550.00","16,650.00","16,400.00","2.01M","1.54%"
"05/10/2023","16,250.00","15,850.00","16,250.00","15,850.00","1.03M","2.52%"
"05/09/2023","15,850.00","16,000.00","16,050.00","15,800.00","450.10K","-0.63%"
"05/08/2023","15,950.00","15,800.00","15,950.00","15,750.00","467.10K","1.27%"
"05/05/2023","15,750.00","15,700.00","16,000.00","15,700.00","333.70K","0.00%"
"05/04/2023","15,750.00","15,700.00","16,100.00","15,650.00","800.40K","0.64%"
"04/28/2023","15,650.00","16,250.00","16,250.00","15,650.00","1.52M","-2.49%"
"04/27/2023","16,050.00","16,050.00","16,200.00","16,000.00","412.90K","0.31%"
"04/26/2023","16,000.00","16,150.00","16,150.00","15,850.00","554.50K","-0.93%"
"04/25/2023","16,150.00","16,250.00","16,450.00","16,050.00","451.40K","-0.62%"
"04/24/2023","16,250.00","16,100.00","16,300.00","16,100.00","361.30K","-0.31%"
"04/21/2023","16,300.00","16,400.00","16,400.00","16,150.00","277.50K","-0.61%"
"04/20/2023","16,400.00","16,200.00","16,400.00","16,150.00","365.10K","1.23%"
"04/19/2023","16,200.00","16,400.00","16,500.00","16,200.00","509.40K","-1.52%"
"04/18/2023","16,450.00","16,400.00","16,700.00","16,400.00","317.10K","0.30%"
"04/17/2023","16,400.00","16,400.00","16,500.00","16,350.00","473.40K","-0.61%"
"04/14/2023","16,500.00","16,600.00","16,750.00","16,500.00","1.07M","-0.60%"
"04/13/2023","16,600.00","16,700.00","16,700.00","16,500.00","597.60K","0.00%"
"04/12/2023","16,600.00","16,800.00","17,000.00","16,600.00","562.70K","-1.78%"
"04/11/2023","16,900.00","17,000.00","17,000.00","16,550.00","717.00K","0.00%"
"04/10/2023","16,900.00","17,200.00","17,300.00","16,850.00","1.01M","0.00%"
"04/07/2023","16,900.00","16,550.00","17,000.00","16,550.00","972.00K","3.05%"
"04/06/2023","16,400.00","16,750.00","16,800.00","16,400.00","520.10K","-2.09%"
"04/05/2023","16,750.00","16,650.00","16,850.00","16,600.00","533.40K","0.00%"
"04/04/2023","16,750.00","16,800.00","16,850.00","16,500.00","452.50K","-0.30%"
"04/03/2023","16,800.00","16,700.00","16,850.00","16,600.00","756.80K","1.20%"
"03/31/2023","16,600.00","16,300.00","16,750.00","16,200.00","817.20K","2.47%"
"03/30/2023","16,200.00","16,300.00","16,500.00","16,200.00","321.70K","-0.31%"
"03/29/2023","16,250.00","15,900.00","16,300.00","15,800.00","709.70K","2.85%"
"03/28/2023","15,800.00","15,900.00","15,900.00","15,750.00","254.80K","0.32%"
"03/27/2023","15,750.00","15,800.00","15,900.00","15,700.00","210.50K","-0.32%"
"03/24/2023","15,800.00","15,600.00","15,900.00","15,600.00","332.70K","1.28%"
"03/23/2023","15,600.00","15,350.00","15,650.00","15,250.00","138.40K","1.30%"
"03/22/2023","15,400.00","15,450.00","15,550.00","15,400.00","80.60K","0.00%"
"03/21/2023","15,400.00","15,550.00","15,550.00","15,250.00","242.30K","0.33%"
"03/20/2023","15,350.00","15,600.00","15,600.00","15,350.00","404.60K","-1.60%"
"03/17/2023","15,600.00","15,750.00","15,800.00","15,550.00","134.40K","-0.32%"
"03/16/2023","15,650.00","15,550.00","15,750.00","15,500.00","393.90K","-2.19%"
"03/15/2023","16,000.00","15,800.00","16,000.00","15,700.00","431.50K","3.23%"
"03/14/2023","15,500.00","15,900.00","15,900.00","15,500.00","487.20K","-2.52%"
"03/13/2023","15,900.00","16,000.00","16,100.00","15,900.00","361.20K","-1.85%"
"03/10/2023","16,200.00","16,400.00","16,450.00","16,150.00","261.20K","-1.52%"
"03/09/2023","16,450.00","16,100.00","16,550.00","15,950.00","616.70K","2.49%"
"03/08/2023","16,050.00","16,000.00","16,100.00","15,750.00","309.40K","0.31%"
"03/07/2023","16,000.00","15,900.00","16,100.00","15,900.00","356.30K","0.00%"
"03/06/2023","16,000.00","16,100.00","16,400.00","16,000.00","305.60K","-0.62%"
"03/03/2023","16,100.00","16,200.00","16,250.00","15,800.00","368.00K","-0.62%"
"03/02/2023","16,200.00","16,200.00","16,200.00","15,750.00","549.00K","0.93%"
"03/01/2023","16,050.00","15,950.00","16,200.00","15,900.00","705.40K","-1.23%"
"02/28/2023","16,250.00","16,350.00","16,400.00","16,250.00","374.50K","-0.61%"
"02/27/2023","16,350.00","16,900.00","16,900.00","16,200.00","324.50K","-2.97%"
"02/24/2023","16,850.00","17,000.00","17,250.00","16,800.00","357.30K","-2.88%"
"02/23/2023","17,350.00","17,100.00","17,450.00","16,500.00","764.90K","2.66%"
"02/22/2023","16,900.00","17,000.00","17,600.00","16,900.00","509.40K","-2.87%"
"02/21/2023","17,400.00","17,700.00","17,900.00","17,400.00","437.20K","-1.42%"
"02/20/2023","17,650.00","17,050.00","17,750.00","17,050.00","505.00K","2.32%"
"02/17/2023","17,250.00","17,150.00","17,250.00","16,950.00","318.30K","0.88%"
"02/16/2023","17,100.00","17,250.00","17,300.00","17,000.00","119.60K","-0.58%"
"02/15/2023","17,200.00","16,800.00","17,350.00","16,800.00","230.80K","-0.86%"
