"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2019","15,206.1","14,852.5","15,206.1","14,852.5","1.39M","0.58%"
"06/27/2019","15,117.7","15,161.9","15,161.9","14,985.1","1.30M","-0.29%"
"06/26/2019","15,161.9","15,161.9","15,161.9","15,029.3","1.28M","0.00%"
"06/25/2019","15,161.9","15,161.9","15,161.9","14,985.1","1.27M","0.00%"
"06/24/2019","15,161.9","14,985.1","15,206.1","14,985.1","1.98M","0.29%"
"06/21/2019","15,117.7","15,029.3","15,117.7","14,940.9","3.19M","-0.29%"
"06/20/2019","15,161.9","14,985.1","15,161.9","14,985.1","2.22M","-0.29%"
"06/19/2019","15,206.1","15,029.3","15,206.1","14,940.9","2.26M","0.00%"
"06/18/2019","15,206.1","15,029.3","15,206.1","14,940.9","1.43M","0.00%"
"06/17/2019","15,206.1","15,206.1","15,206.1","14,985.1","1.27M","0.00%"
"06/14/2019","15,206.1","15,206.1","15,206.1","15,029.3","1.17M","0.29%"
"06/13/2019","15,161.9","15,206.1","15,250.3","14,985.1","927.25K","-0.29%"
"06/12/2019","15,206.1","15,206.1","15,206.1","14,587.3","1.54M","2.99%"
"06/11/2019","14,764.1","15,692.4","15,736.6","14,764.1","1.02M","-5.92%"
"06/10/2019","15,692.4","15,648.2","15,736.6","15,515.5","1.55M","-0.28%"
"06/07/2019","15,736.6","15,692.4","15,736.6","15,515.5","1.09M","0.00%"
"06/06/2019","15,736.6","15,604.0","15,736.6","15,427.1","1.12M","-0.28%"
"06/05/2019","15,780.8","15,825.0","15,869.2","15,559.7","1.23M","0.28%"
"06/04/2019","15,736.6","15,736.6","15,825.0","15,604.0","991.36K","0.00%"
"06/03/2019","15,736.6","15,736.6","15,869.2","15,692.4","1.07M","-1.38%"
"05/31/2019","15,957.6","15,736.6","15,957.6","15,736.6","1.37M","0.28%"
"05/30/2019","15,913.4","15,736.6","15,913.4","15,559.7","1.24M","1.12%"
"05/29/2019","15,736.6","15,825.0","15,869.2","15,736.6","1.29M","-1.11%"
"05/28/2019","15,913.4","15,957.6","15,957.6","15,736.6","1.47M","-0.28%"
"05/27/2019","15,957.6","15,648.2","15,957.6","15,648.2","1.28M","0.84%"
"05/24/2019","15,825.0","15,913.4","15,913.4","15,648.2","1.65M","-0.56%"
"05/23/2019","15,913.4","16,090.2","16,090.2","15,825.0","1.20M","-1.10%"
